,user,video,northamerica,sports,news,autos,kids,movies,lifestyle,middleeast,foodanddrink,music,travel,health,finance,entertainment,weather,tv
205,U32154,0,0,4,20,0,0,1,1,0,2,1,5,0,4,1,7,1
206,U71336,0,0,17,19,4,0,3,4,0,3,0,0,0,3,0,0,0
207,U5362,0,0,6,14,1,0,1,3,0,0,1,9,0,10,2,1,1
208,U55142,0,0,1,8,0,0,1,0,0,0,0,1,0,0,3,0,4
209,U65009,0,0,7,98,1,0,0,23,0,16,2,1,11,5,0,0,5
210,U23879,4,0,5,17,2,0,0,6,0,10,0,2,1,9,0,0,2
211,U88754,0,0,0,0,0,0,0,1,0,1,0,0,4,0,2,0,2
212,U76500,0,0,0,1,0,0,2,3,0,7,1,0,4,0,0,0,0
213,U92991,0,0,10,114,0,0,0,2,0,1,1,0,0,3,1,0,4
214,U39701,0,0,52,75,20,0,11,7,0,4,17,11,7,25,3,7,22
215,U68330,0,0,3,5,0,0,0,1,0,0,0,0,0,1,1,0,0
216,U58864,0,0,4,12,1,0,0,1,0,1,0,1,0,5,0,0,0
217,U19958,0,0,0,6,0,0,2,7,0,0,2,0,6,0,0,0,1
218,U48368,0,0,3,1,0,0,0,1,0,2,1,0,0,0,0,0,0
219,U56234,0,0,3,1,1,0,1,0,0,0,4,1,0,0,0,0,1
220,U82126,0,0,0,4,0,0,1,1,0,0,1,0,1,0,2,0,0
221,U14014,0,0,0,9,0,0,1,9,0,6,0,1,2,1,0,1,1
222,U50647,0,0,4,36,1,0,4,7,0,0,0,3,2,6,1,2,4
223,U45814,0,0,0,12,0,0,0,3,0,0,1,0,0,0,0,0,1
224,U87873,2,0,1,11,1,0,1,5,0,1,1,0,1,4,0,3,1
225,U69940,0,0,14,11,0,0,1,3,0,0,1,0,1,1,0,2,6
226,U73090,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0
227,U42208,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
228,U55109,0,0,0,3,1,0,0,0,0,2,0,0,1,1,1,2,0
229,U32915,2,0,2,2,1,0,1,4,0,1,1,1,1,1,0,1,1
230,U45170,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
231,U21621,1,0,0,8,0,0,0,16,0,20,1,1,4,2,2,0,2
232,U75281,0,0,0,6,1,0,1,2,0,1,1,1,1,2,0,0,1
233,U35110,1,0,13,20,6,0,6,5,0,3,1,4,3,4,7,1,7
234,U47019,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0
235,U50518,2,0,5,26,3,0,3,26,0,4,7,29,2,13,4,1,7
236,U53773,1,0,18,12,28,0,4,9,0,18,5,15,5,10,9,2,8
237,U12302,0,0,0,3,0,0,0,1,0,0,0,0,5,0,1,0,0
238,U55727,0,0,12,12,0,0,0,1,0,1,0,3,0,4,1,0,1
239,U88554,2,0,2,26,3,0,5,7,0,1,5,0,3,5,6,0,14
240,U41731,0,0,0,4,1,0,2,9,0,2,1,0,3,4,1,0,7
241,U14104,0,0,17,28,2,0,0,6,0,8,4,6,5,2,2,0,3
242,U61958,1,0,3,5,2,0,1,5,0,2,0,1,4,1,3,0,1
243,U60011,2,0,0,6,0,0,1,1,0,1,1,0,3,1,0,1,1
244,U38989,0,0,0,7,0,0,0,2,0,0,0,0,1,0,4,0,4
245,U81600,0,0,1,5,0,0,1,1,0,0,0,0,0,3,0,1,2
246,U25574,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0
247,U20563,0,0,2,11,3,0,0,3,0,0,2,1,0,0,2,0,0
248,U37909,0,0,0,3,0,0,0,1,0,0,1,0,0,3,0,0,0
249,U5285,10,0,0,1,0,0,1,3,0,0,2,0,0,0,1,1,1
250,U75593,0,0,2,11,0,0,1,3,0,1,1,1,0,1,1,0,1
251,U92476,0,0,9,5,1,0,2,12,0,16,5,5,0,3,2,0,7
252,U31178,0,0,0,4,0,0,2,2,0,0,0,1,0,0,1,0,5
253,U3596,0,0,8,20,8,0,2,14,0,2,2,2,14,8,4,1,4
254,U83056,3,0,3,16,2,0,1,6,0,1,1,2,8,5,0,0,2
255,U59459,0,0,8,49,2,0,0,10,0,2,2,6,2,34,0,0,0
256,U65749,0,0,1,4,1,0,1,5,0,1,1,0,0,2,0,1,1
257,U6879,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258,U16818,1,0,12,85,8,0,6,3,0,8,4,4,2,11,2,6,10
259,U29589,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2
260,U12508,3,0,29,54,1,0,7,16,0,3,5,2,2,12,3,1,18
261,U37608,0,0,0,8,0,0,1,3,0,1,2,0,2,0,0,0,0
262,U56732,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1
263,U19598,2,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1
264,U51225,0,0,21,5,4,0,2,0,0,2,0,3,0,4,0,2,2
265,U90591,1,0,0,2,0,0,0,5,0,2,0,1,0,1,0,0,6
266,U17699,0,0,1,14,0,0,0,1,0,0,0,0,0,1,0,0,4
267,U4992,2,0,16,50,22,0,3,19,0,7,6,22,12,12,1,1,9
268,U28931,2,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0
269,U34175,1,0,1,5,0,0,1,0,0,0,0,3,0,2,0,0,2
270,U47164,2,0,5,68,9,0,0,9,0,6,0,6,0,10,0,0,1
271,U73550,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
272,U37316,0,0,0,43,0,0,0,0,0,0,0,0,0,2,4,0,1
273,U50993,2,0,27,16,1,0,0,3,0,11,0,5,1,4,0,1,2
274,U89120,0,0,0,6,0,0,0,2,0,0,0,0,1,0,0,0,1
275,U16899,2,0,1,11,25,0,3,1,0,0,1,0,1,4,5,0,4
276,U23637,0,0,15,6,0,0,0,25,0,3,0,4,8,2,5,0,5
277,U43527,0,0,1,26,0,0,0,0,0,0,0,0,1,3,0,0,0
278,U31288,3,0,2,8,0,0,0,10,0,7,2,3,7,2,1,0,2
279,U19467,0,0,10,14,8,0,1,1,0,0,1,0,0,5,1,0,0
280,U50999,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
281,U59701,3,0,6,51,3,0,4,16,0,7,7,4,6,5,8,2,12
282,U43256,0,0,0,3,0,0,0,1,0,0,1,0,3,0,3,0,2
283,U10932,0,0,0,0,1,0,0,3,0,1,1,0,0,1,2,0,3
284,U91652,0,0,1,7,1,0,0,7,0,3,1,1,1,1,1,0,1
285,U14239,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,4
286,U60761,0,0,0,13,1,0,0,1,0,1,0,4,6,3,0,1,0
287,U87590,1,0,4,7,2,0,0,6,0,0,2,1,10,0,1,0,2
288,U17403,1,0,3,13,3,0,1,1,0,1,1,1,1,11,0,1,1
289,U1448,1,0,0,16,0,0,1,9,0,3,1,0,1,3,3,0,1
290,U70107,0,0,0,8,1,0,0,2,0,2,2,1,3,2,0,0,4
291,U25264,0,0,1,1,1,0,1,4,0,1,0,1,2,2,2,0,2
292,U77715,7,0,3,21,2,0,5,18,0,7,2,1,1,2,3,1,11
293,U48223,0,0,3,3,2,0,8,4,0,3,2,1,0,2,1,0,2
294,U11858,0,0,0,8,0,0,4,2,0,1,0,0,0,4,0,0,0
295,U62140,0,0,0,3,1,0,1,0,0,1,1,0,0,2,0,1,0
296,U14623,0,0,25,5,0,0,2,1,0,1,2,0,0,0,3,0,2
297,U84681,6,0,3,20,0,0,1,0,0,0,1,0,0,0,3,2,3
298,U60994,1,0,1,7,0,0,0,0,0,1,0,2,1,2,0,0,1
299,U61114,12,0,17,21,3,0,4,8,0,5,7,3,4,6,2,0,11
300,U48853,0,0,0,6,3,0,1,3,0,0,0,0,0,0,1,1,0
301,U62371,0,0,15,13,2,0,1,3,0,1,6,3,2,2,1,0,5
302,U16646,0,0,3,7,0,0,2,15,0,9,5,0,4,0,13,0,10
303,U30800,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1
304,U88965,0,0,0,1,0,0,2,4,0,1,0,0,4,4,0,0,5
305,U44264,0,0,3,10,0,0,1,3,0,2,2,1,3,2,0,0,2
306,U81193,0,0,5,1,0,0,0,1,0,0,2,0,0,0,0,0,1
307,U93817,1,0,4,19,2,0,0,6,0,4,3,3,26,1,0,3,1
308,U5831,0,0,3,2,0,0,0,1,0,0,0,2,3,2,1,0,1
309,U77872,4,0,21,36,2,0,5,2,0,0,1,0,1,1,1,0,2
310,U93464,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,1
311,U67659,1,0,2,7,8,0,1,1,0,3,1,0,5,0,0,0,0
312,U81754,1,0,4,13,2,0,0,4,0,0,0,1,0,1,0,0,3
313,U78328,0,0,0,5,0,0,2,10,0,9,0,1,2,1,0,0,0
314,U46023,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0
315,U942,0,0,0,5,0,0,3,12,0,8,2,2,1,3,5,0,8
316,U74667,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0
317,U17501,0,0,1,0,0,0,1,0,0,0,2,0,2,0,2,0,2
318,U19975,0,0,7,6,1,0,0,0,0,0,1,0,2,7,1,1,0
319,U36991,0,0,3,8,0,0,0,0,0,0,0,0,0,2,1,0,0
320,U8472,0,0,0,13,2,0,4,5,0,3,6,4,8,5,5,0,6
321,U50399,0,0,0,4,0,0,0,1,0,0,0,2,0,1,1,0,2
322,U35764,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,5
323,U54138,3,0,27,28,0,0,5,3,0,3,5,0,1,5,3,0,9
324,U35435,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
325,U83825,0,0,2,8,0,0,1,0,0,3,0,0,0,3,1,0,1
326,U93438,0,0,1,5,0,0,1,4,0,2,2,0,10,3,0,0,3
327,U90098,0,0,2,10,2,0,0,7,0,35,2,2,6,6,3,0,10
328,U48747,0,0,0,2,0,0,0,5,0,0,0,2,4,3,0,0,2
329,U57639,3,0,3,17,0,0,1,7,0,4,1,0,6,9,0,2,5
330,U50153,0,0,1,3,1,0,1,1,0,0,0,0,0,1,0,1,1
331,U8740,0,0,0,21,1,0,0,1,0,4,0,2,3,2,0,1,0
332,U83672,3,0,2,47,2,0,1,5,0,0,3,3,1,5,1,1,1
333,U54512,0,0,1,0,1,0,1,0,0,0,1,0,1,0,5,0,1
334,U6071,0,0,7,5,0,0,1,1,0,0,0,0,0,0,1,0,2
335,U44207,1,0,8,34,0,0,0,1,0,0,1,0,1,8,0,0,3
336,U53600,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,2
337,U81319,0,0,0,4,0,0,1,0,0,1,1,0,0,0,0,0,1
338,U56837,3,0,3,64,0,0,2,13,0,3,6,2,4,7,3,1,7
339,U48781,0,0,0,8,0,0,0,8,0,9,0,4,0,6,2,0,1
340,U28551,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
341,U80599,2,0,31,58,0,0,5,15,0,5,2,4,4,6,3,3,10
342,U28788,3,0,6,15,4,0,1,10,0,0,2,2,1,1,1,0,3
343,U32775,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,1
344,U78325,0,0,11,5,0,0,1,1,0,2,1,2,0,3,0,0,2
345,U69377,0,0,15,6,1,0,2,4,0,0,0,0,0,1,4,1,12
